-0.48454661 0.36550366 9.76331424 -0.23815999 0.60120000 0.38455999 -3.91125011 -2.35374999 -5.26749992 22.87500000
-0.40558342 0.41635112 9.63230705 -0.23943998 0.60359997 0.38927998 -3.85875015 -2.18750000 -5.40749979 22.87500000
-0.43848476 0.41096730 9.68494987 -0.23840000 0.60215997 0.38343999 -3.33375000 -2.40625000 -5.51249980 22.75000000
-0.37088751 0.41515469 9.63230705 -0.23791999 0.60296001 0.38600001 -3.68374991 -2.29250001 -5.29374980 22.75000000
-0.43010988 0.39601216 9.66520977 -0.23847999 0.60159997 0.38407998 -3.52625012 -2.55500006 -5.48624992 22.75000000
-0.31286156 0.45762734 9.48514938 -0.23847999 0.60159997 0.38407998 -3.86750011 -2.30124998 -5.31125020 22.75000000
-0.42053861 0.41874399 9.63111114 -0.23871998 0.60327997 0.38391998 -3.57875013 -2.51999998 -5.78375005 22.75000000
-0.39302112 0.41635112 9.65145015 -0.23896000 0.60359997 0.38431999 -3.41249990 -2.62500000 -5.35500001 22.75000000
-0.43190445 0.39242291 9.65204811 -0.23847999 0.60239992 0.38407998 -3.54375004 -2.58124995 -5.48624992 22.75000000
-0.43190445 0.41096730 9.67418193 -0.23880000 0.60288000 0.38567998 -3.47375011 -2.24000000 -5.30250024 22.75000000
-0.40259242 0.40737805 9.65623569 -0.23880000 0.60288000 0.38567998 -3.71000003 -2.45000004 -5.50374984 23.00000000
-0.40259242 0.42053861 9.58564758 -0.23808000 0.60271997 0.38528001 -3.29874992 -2.33625006 -5.46875000 23.00000000
-0.37507495 0.44027938 9.62393283 -0.23831999 0.60151996 0.38175997 -3.14124989 -2.70374989 -5.42500019 22.87500000
-0.41515469 0.39960136 9.69990444 -0.23855998 0.60303997 0.38503999 -3.83249998 -2.27500009 -5.48624992 22.87500000
-0.42771706 0.43070812 9.64905738 -0.23880000 0.60215997 0.38528001 -3.76250004 -2.38875007 -5.67000007 22.87500000
-0.43250269 0.41515469 9.65563774 -0.23880000 0.60215997 0.40576000 -3.50874996 -1.95124998 -5.65250015 23.00000000
-0.42412781 0.39062831 9.57308483 -0.23808000 0.60271997 0.38951997 -3.72749996 -2.37124991 -5.17124986 23.00000000
-0.34037899 0.43609194 9.56471061 -0.23880000 0.60127997 0.38551998 -3.32500004 -2.36249995 -5.78375005 23.00000000
-0.37866415 0.42472605 9.59282588 -0.23919999 0.60311994 0.38503999 -3.32500004 -2.45000004 -5.46875000 23.00000000
-0.41455655 0.40618162 9.55454063 -0.23791999 0.60288000 0.38447998 -3.43000006 -2.24874997 -5.38124990 22.75000000
